fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_last_bull_market,fund_return_last_bear_market
MMXTX,Buffalo Mid Cap Fund,Buffalo Mid Cap Fund,Target-Date 2035,Buffalo,0.2696,0.117,0.0958,0.0785,0.2094,-0.1878
MMXUX,Buffalo Early Stage Growth Fund,Buffalo Early Stage Growth Fund,Target-Date 2035,Buffalo,0.2711,0.1183,0.0971,0.0785,0.2094,-0.1878
MMXYX,Buffalo Small Cap Fund Inc.,Buffalo Small Cap Fund,Target-Date 2035,Buffalo,0.2679,0.1149,0.0936,0.0914,0.2094,-0.1878
MMXZX,Buffalo Discovery Fund,Buffalo Discovery Fund,Target-Date 2035,Buffalo,0.2654,0.1131,0.0919,0.0785,0.2077,-0.1886
MMYAX,Buffalo Flexible Income Fund In,Buffalo Flexible Income Fund Institutional Class,Small Value,Buffalo,0.6914,0.0952,0.0998,0.0992,0.2671,-0.2434
MMYLX,Buffalo Dividend Focus Fund Ins,Buffalo Dividend Focus Fund Institutional Class,Small Value,Buffalo,0.6949,0.0979,0.1025,0.1021,0.2694,-0.2427
MNBAX,Buffalo Large Cap Fund Institut,Buffalo Large Cap Fund Institutional Class,Allocation--50% to 70% Equity,Buffalo,0.1927,0.1292,0.088,0.0816,0.1427,-0.1317
MNBCX,Cboe Vest S&P 500 Buffer Strate,CBOE Vest S&P 500 Buffer Strategy Fund Class Institutional Shares,Muni National Long,CBOE Vest,0.0243,0.0539,0.0382,0.0451,0.0674,0.0832
MNBIX,Buffalo High Yield Fund Institu,Buffalo High Yield Fund Institutional Class,Allocation--50% to 70% Equity,Buffalo,0.1947,0.1315,0.0904,0.0841,0.1457,-0.1315
MNBRX,Buffalo International Fund Inst,Buffalo International Fund Institutional Class,Allocation--50% to 70% Equity,Buffalo,0.1901,0.1262,0.0853,0.0789,0.1422,-0.1323
MNBWX,Buffalo Mid Cap Fund Institutio,Buffalo Mid Cap Fund Institutional Class,Allocation--50% to 70% Equity,Buffalo,0.2032,0.0911,0.0783,0.0785,0.1427,-0.1317
MNCCX,Buffalo Early Stage Growth Fund,Buffalo Early Stage Growth Fund Institutional Class,Allocation--30% to 50% Equity,Buffalo,0.0952,0.0766,0.0508,0.0462,0.0721,-0.0449
MNCEX,Buffalo Small Cap Fund Institut,Buffalo Small Cap Fund Institutional Class,Foreign Large Blend,Buffalo,0.2968,0.1032,0.0887,0.0799,0.1247,-0.2209
MNCIX,Buffalo Discovery Fund Institut,Buffalo Discovery Fund Institutional Class,Allocation--30% to 50% Equity,Buffalo,0.1044,0.0871,0.061,0.0567,0.0781,-0.0404
MNCLX,BlackRock U.S. Impact Fund Clas,BlackRock U.S. Impact Fund Class K,Muni Single State Long,BlackRock,0.0511,0.0487,0.0783,0.0785,0.0601,0.0599
MNCPX,American Century Utilities Fund,American Century Utilities Fund Investor Class,Nontraditional Bond,American Century Investments,0.0682,0.0541,0.0374,0.0785,0.0706,-0.0032
MNCRX,Cboe Vest S&P 500 Buffer Strate,CBOE Vest S&P 500 Buffer Strategy Fund Class Investor Shares,Allocation--30% to 50% Equity,CBOE Vest,0.1007,0.0823,0.0562,0.0516,0.074,-0.0415
MNCWX,Sterling Capital Ultra Short Bo,Sterling Capital Ultra Short Bond Fund Institutional Shares,Allocation--30% to 50% Equity,Sterling Capital Funds,0.1108,0.0911,0.0783,0.0785,0.0767,-0.0413
MNDAX,Sterling Capital Ultra Short Bo,Sterling Capital Ultra Short Bond Fund Class A Shares,Small Growth,Sterling Capital Funds,0.4134,0.2401,0.177,0.1456,0.268,-0.2735
MNDBX,Catalyst Buyback Strategy Fund ,Catalyst Pivotal Growth Fund Class A,Small Growth,Catalyst Mutual Funds,0.4027,0.2309,0.1682,0.137,0.2632,-0.2757
MNDCX,Catalyst Buyback Strategy Fund ,Catalyst Pivotal Growth Fund Class C,Small Growth,Catalyst Mutual Funds,0.4023,0.2308,0.1681,0.137,0.2629,-0.2761
MNDFX,Cboe Vest S&P 500 Buffer Strate,CBOE Vest S&P 500 Buffer Strategy Fund Class Y Shares,Large Value,CBOE Vest,0.3367,0.1089,0.1201,0.1198,0.1782,-0.1062
MNDGX,Catalyst Buyback Strategy Fund ,Catalyst Pivotal Growth Fund Class I,Small Growth,Catalyst Mutual Funds,0.4028,0.2308,0.1681,0.137,0.2624,-0.2756
MNDHX,Main BuyWrite Fund Class I,Main BuyWrite Fund Class I Shares,Small Growth,Main Management,0.4131,0.2401,0.1769,0.1456,0.2682,-0.2733
MNDIX,Sterling Capital Virginia Inter,Sterling Capital Virginia Intermediate Tax-Free Fund Class A,Small Growth,Sterling Capital Funds,0.4165,0.2431,0.1799,0.1484,0.2705,-0.2729
MNDJX,Sterling Capital Virginia Inter,Sterling Capital Virginia Intermediate Tax-Free Fund C Shares,Small Growth,Sterling Capital Funds,0.4166,0.2432,0.18,0.1485,0.2699,-0.2728
MNDKX,Brown Advisory - Beutel Goodman,Brown Advisory - Beutel Goodman Large-Cap Value Fund Institutional Shares,Small Growth,Brown Advisory Funds,0.4182,0.2444,0.1811,0.0785,0.2705,-0.2729
MNDRX,Madison Small Cap Fund Class Y,Madison Small Cap Fund Class Y,Small Growth,Madison Funds,0.4094,0.2369,0.174,0.1427,0.2666,-0.2742
MNDWX,Sterling Capital Virginia Inter,Sterling Capital Virginia Intermediate Tax-Free Fund Institutional Shares,Muni National Interm,Sterling Capital Funds,0.0211,0.0911,0.0783,0.0785,0.0205,0.0466
MNEAX,Becker Value Equity Fd Retail C,Becker Value Equity Fund Retail Class,Allocation--30% to 50% Equity,Becker,0.1164,0.0911,0.0783,0.0785,0.1668,-0.159
MNECX,Becker Value Equity Fund Insti ,Becker Value Equity Fund Institutional Class,Allocation--50% to 70% Equity,Becker,0.1835,0.1208,0.08,0.0735,0.1387,-0.1341
MNEKX,BAYWOOD SKBA VALUEPLUS FUND - I,Baywood ValuePlus Fund Institutional Shares,Allocation--30% to 50% Equity,Baywood,0.1073,0.0911,0.0783,0.0785,0.1668,-0.159
MNELX,Baywood SociallyResponsible Fun,Baywood Socially Responsible Fund Institutional Shares,Allocation--30% to 50% Equity,Baywood,0.1184,0.0911,0.0783,0.0785,0.1668,-0.159
MNERX,Baron WealthBuilder Fund Retail,Baron WealthBuilder Fund Retail Shares,Allocation--30% to 50% Equity,"Baron Capital Group, Inc.",0.1118,0.0911,0.0783,0.0785,0.1668,-0.159
MNEVX,Baron WealthBuilder Fund Instit,Baron WealthBuilder Fund Institutional Shares,Allocation--30% to 50% Equity,"Baron Capital Group, Inc.",0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
MNHAX,Baron WealthBuilder Fund TA Sha,Baron WealthBuilder Fund TA Shares,High Yield Bond,"Baron Capital Group, Inc.",0.161,0.0844,0.0701,0.0785,0.1183,-0.0465
MNHCX,Boyd Watterson Limited Duration,Boyd Watterson Limited Duration Enhanced Income Fund Class A Shares,Allocation--85%+ Equity,Boyd Watterson,0.3014,0.1573,0.1175,0.1054,0.1796,-0.2036
MNHIX,Boyd Watterson Limited Duration,Boyd Watterson Limited Duration Enhanced Income Fund Class C Shares,Allocation--85%+ Equity,Boyd Watterson,0.3158,0.1692,0.1288,0.1164,0.1863,-0.2002
MNHRX,Boyd Watterson Limited Duration,Boyd Watterson Limited Duration Enhanced Income Fund Class I,Allocation--85%+ Equity,Boyd Watterson,0.3089,0.1632,0.123,0.1109,0.1828,-0.2021
MNHWX,Boyd Watterson Limited Duration,Boyd Watterson Limited Duration Enhanced Income Fund Class I2,Allocation--85%+ Equity,Boyd Watterson,0.3249,0.0911,0.0783,0.0785,0.185,-0.2015
MNHYX,American Beacon Bridgeway Large,American Beacon Bridgeway Large Cap Value Fund A Class,High Yield Bond,American Beacon,0.1577,0.0812,0.0673,0.0659,0.1183,-0.0465
MNMCX,American Beacon Bridgeway Large,American Beacon Bridgeway Large Cap Value Fund C Class,Allocation--30% to 50% Equity,American Beacon,0.1418,0.101,0.064,0.0583,0.117,-0.1029
MNMIX,American Beacon Bridgeway Large,American Beacon Bridgeway Large Cap Value Fund Investor Class,Allocation--30% to 50% Equity,American Beacon,0.1512,0.1111,0.0744,0.0687,0.1232,-0.0985
MNMRX,American Beacon Bridgeway Large,American Beacon Bridgeway Large Cap Value Fund R6 Class,Allocation--30% to 50% Equity,American Beacon,0.147,0.1059,0.0691,0.0635,0.1202,-0.1006
MNMWX,American Beacon Bridgeway Large,American Beacon Bridgeway Large Cap Value Fund Y Class,Allocation--30% to 50% Equity,American Beacon,0.1601,0.0911,0.0783,0.0785,0.1224,-0.1003
MNNAX,Bullfinch Western New York Seri,Bullfinch Greater Western New York Series,Large Blend,Bullfinch,0.3671,0.136,0.11,0.1204,0.2651,-0.2071
MNNCX,Sterling Capital West Virginia ,Sterling Capital West Virginia Intermediate Tax-Free Fund C Shares,Large Blend,Sterling Capital Funds,0.3559,0.1275,0.1013,0.1116,0.2592,-0.2093
MNNWX,Barings Active Short Duration B,Barings Active Short Duration Bond Fund Class A,Muni New York Intermediate,Barings Funds,0.0243,0.0911,0.0783,0.0785,0.0213,0.0473
MNNYX,Barings Active Short Duration B,Barings Active Short Duration Bond Fund Class C,Large Blend,Barings Funds,0.3718,0.1401,0.1142,0.1241,0.2666,-0.2061
MNOAX,Barings Active Short Duration B,Barings Active Short Duration Bond Fund Class I,Muni New York Long,Barings Funds,0.0626,0.0562,0.0466,0.0785,0.1668,-0.159
MNOCX,Barings Active Short Duration B,Barings Active Short Duration Bond Fund Class L,Muni New York Long,Barings Funds,0.0598,0.0534,0.0437,0.0785,0.1668,-0.159
MNODX,Barings Active Short Duration B,Barings Active Short Duration Bond Fund Class Y,Muni New York Long,Barings Funds,0.0655,0.0911,0.0783,0.0785,0.1668,-0.159
MNOIX,Barings Emerging Markets Debt B,Barings Emerging Markets Debt Blended Total Return Fund Class A,Muni New York Long,Barings Funds,0.0653,0.0588,0.0492,0.0785,0.1668,-0.159
MNOLX,Barings Emerging Markets Debt B,Barings Emerging Markets Debt Blended Total Return Fund Class C,Muni New York Long,Barings Funds,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
MNOSX,Barings Emerging Markets Debt B,Barings Emerging Markets Debt Blended Total Return Fund Class I,Foreign Large Growth,Barings Funds,0.3801,0.0911,0.0783,0.0785,0.1634,-0.271
MNOZX,Barings Emerging Markets Debt B,Barings Emerging Markets Debt Blended Total Return Fund Class Y,Foreign Large Growth,Barings Funds,0.3861,0.1507,0.0783,0.0785,0.1651,-0.2702
MNRBX,Barings Global Floating Rate Fu,Barings Global Floating Rate Fund Class A,Short Government,Barings Funds,-0.0241,0.0354,0.0127,0.007,0.0008,0.0075
MNREX,Barings Global Floating Rate Fu,Barings Global Floating Rate Fund Class C,Real Estate,Barings Funds,0.3165,0.13,0.0975,0.1041,0.3317,-0.1718
MNRGX,Barings Global Floating Rate Fu,Barings Global Floating Rate Fund Class I,Large Growth,Barings Funds,0.3314,0.1817,0.1433,0.1416,0.2136,-0.1569
MNRIX,Barings Global Floating Rate Fu,Barings Global Floating Rate Fund Class Y,Real Estate,Barings Funds,0.3197,0.1329,0.1001,0.0785,0.3317,-0.1718
MNRMX,Barings U.S. High Yield Fund Cl,Barings U.S. High Yield Fund Class A,Large Blend,Barings Funds,0.355,0.1131,0.0851,0.1052,0.1935,-0.1541
MNRWX,Barings U.S. High Yield Fund Cl,Barings U.S. High Yield Fund Class C,Real Estate,Barings Funds,0.3302,0.0911,0.0783,0.0785,0.3317,-0.1718
MNRZX,Barings U.S. High Yield Fund Cl,Barings U.S. High Yield Fund Class I,Real Estate,Barings Funds,0.3224,0.0911,0.0783,0.0785,0.3317,-0.1718
MNSGX,Barings U.S. High Yield Fund Cl,Barings U.S. High Yield Fund Class Y,Short-Term Bond,Barings Funds,-0.0009,0.0254,0.0146,0.0129,0.0148,0.0115
MNSQX,Barings Global Credit Income Op,Barings Global Credit Income Opportunities Fund Class A,Small Blend,Barings Funds,0.5067,0.0911,0.0783,0.0785,0.1668,-0.159
MNTRX,Barings Global Credit Income Op,Barings Global Credit Income Opportunities Fund Class C,Intermediate Core Bond,Barings Funds,-0.0035,0.0574,0.0346,0.034,0.0333,0.0457
MNVAX,Barings Global Credit Income Op,Barings Global Credit Income Opportunities Fund Class I,Large Blend,Barings Funds,0.3168,0.1758,0.1483,0.0785,0.211,-0.1508
MNVRX,Barings Global Credit Income Op,Barings Global Credit Income Opportunities Fund Class Y,Large Blend,Barings Funds,0.3221,0.1807,0.1531,0.0785,0.2128,-0.1499
MNWAX,Blackstone Alternative Multi-St,Blackstone Alternative Multi-Strategy Fund Class D,Long-Short Equity,Blackstone,-0.0096,0.0352,0.0292,0.0785,0.1668,-0.159
MNWBX,Blackstone Alternative Multi-St,Blackstone Alternative Multi-Strategy Fund Class I,Long-Short Equity,Blackstone,-0.0168,0.0265,0.0205,0.0785,0.1668,-0.159
MNWCX,Blackstone Alternative Multi-St,Blackstone Alternative Multi-Strategy Fund Class Y,Long-Short Equity,Blackstone,-0.0169,0.0262,0.0205,0.0785,0.1668,-0.159
MNWIX,Barings Global Emerging Markets,Barings Global Emerging Markets Equity Fund Class A,Long-Short Equity,Barings Funds,-0.007,0.0363,0.0306,0.0785,0.1668,-0.159
MNWRX,Barings Global Emerging Markets,Barings Global Emerging Markets Equity Fund Class C,Long-Short Equity,Barings Funds,-0.0168,0.0261,0.0205,0.0785,0.1668,-0.159
MNWSX,Barings Global Emerging Markets,Barings Global Emerging Markets Equity Fund Class I,Long-Short Equity,Barings Funds,-0.0121,0.0315,0.0257,0.0785,0.1668,-0.159
MNWTX,Barings Global Emerging Markets,Barings Global Emerging Markets Equity Fund Class Y,Long-Short Equity,Barings Funds,-0.0103,0.0339,0.028,0.0785,0.1668,-0.159
MNWUX,Barings Diversified Income Fund,Barings Diversified Income Fund Class A,Long-Short Equity,Barings Funds,-0.0074,0.0365,0.0306,0.0785,0.1668,-0.159
MNWZX,Barings Diversified Income Fund,Barings Diversified Income Fund Class C,Long-Short Equity,Barings Funds,-0.0077,0.0358,0.0783,0.0785,0.1668,-0.159
MNYIX,Barings Diversified Income Fund,Barings Diversified Income Fund Class I,Muni New York Intermediate,Barings Funds,0.0393,0.0432,0.0312,0.0309,0.044,0.045
MNYLX,Barings Diversified Income Fund,Barings Diversified Income Fund Class Y,Muni New York Long,Barings Funds,0.0645,0.0544,0.0783,0.0785,0.0605,0.0593
MNYMX,BNY Mellon Corporate Bond Fund ,BNY Mellon Corporate Bond Fund Investor Shares,Muni New York Intermediate,BNY Mellon Funds,0.0419,0.0458,0.0336,0.0335,0.0455,0.0462
MOATX,BNY Mellon Corporate Bond Fund ,BNY Mellon Corporate Bond Fund Class M Shares,Large Blend,BNY Mellon Funds,0.1949,0.0702,0.0713,0.0714,0.098,-0.0569
MOEAX,Calvert Growth Allocation Fund ,Calvert Growth Allocation Fund Class A,Allocation--70% to 85% Equity,Calvert Research and Management,0.2642,0.0911,0.0783,0.0785,0.1668,-0.159
MOECX,Calvert Growth Allocation Fund ,Calvert Growth Allocation Fund Class C,Allocation--70% to 85% Equity,Calvert Research and Management,0.2553,0.0911,0.0783,0.0785,0.1668,-0.159
MOEIX,"American Fds, Short-Term Bond F",American Funds Short-Term Bond Fund of America Class 529-A,Allocation--70% to 85% Equity,American Funds,0.2674,0.0911,0.0783,0.0785,0.1668,-0.159
MOERX,Columbia Adaptive Retirement 20,Columbia Adaptive Retirement 2025 Fund Advisor Class,Allocation--70% to 85% Equity,Columbia Threadneedle,0.2593,0.0911,0.0783,0.0785,0.1668,-0.159
MOEVX,Ariel Appreciation Fd Instl Cl,Ariel Appreciation Fund Institutional Class,Allocation--70% to 85% Equity,Ariel Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
MOFIX,Invesco Select Risk: Moderately,Invesco Select Risk: Moderately Conservative Investor Fund Class A,World Bond,Invesco,0.0688,0.0514,0.0406,0.0785,0.1668,-0.159
MOGAX,Ariel Appreciation Fund Investo,Ariel Appreciation Fund Investor Class,Allocation--50% to 70% Equity,Ariel Investments,0.23,0.1103,0.0903,0.0877,0.1999,-0.1527
MOINX,Invesco Select Risk: Moderately,Invesco Select Risk: Moderately Conservative Investor Fund Class Y,Small Blend,Invesco,0.4215,0.0578,0.0682,0.0897,0.2635,-0.2191
MOJAX,AB Relative Value Fund - A,AB Relative Value Fund Class A,Tactical Allocation,AllianceBernstein,0.4858,0.0912,0.0783,0.0785,0.1668,-0.159
MOJCX,Columbia Multi-Manager Growth S,Multi-Manager Growth Strategies Fund Institutional 3 Class,Tactical Allocation,Columbia Threadneedle,0.4738,0.0831,0.0783,0.0785,0.1668,-0.159
MOJOX,"AB Global Risk Allocation Fund,",AB Global Risk Allocation Fund Class I,Tactical Allocation,AllianceBernstein,0.4894,0.0942,0.0783,0.0785,0.1668,-0.159
MONTX,"AB Global Risk Allocation Fund,",AB Global Risk Allocation Fund Class A,Large Growth,AllianceBernstein,0.3541,0.1887,0.142,0.1241,0.1892,-0.2405
MOOPX,Invesco Greater China Fund Cl C,Invesco Greater China Fund Class C,Foreign Large Blend,Invesco,0.6706,0.0911,0.0783,0.0785,0.1668,-0.159
MOORX,Invesco Select Risk: Moderately,Invesco Select Risk: Moderately Conservative Investor Fund Class C,Small Blend,Invesco,0.5003,0.1298,0.1169,0.0785,0.299,-0.2347
MOPAX,Columbia Acorn International Cl,Columbia Acorn International Fund Class R,Small Blend,Columbia Threadneedle,0.4253,0.0609,0.0712,0.0928,0.2658,-0.2178
MOPBX,Invesco Greater China Fund Clas,Invesco Greater China Fund Class R6,Large Blend,Invesco,0.3748,0.1432,0.1211,0.1323,0.2345,-0.177
MOPCX,Cornerstone Advisors Core Plus ,Cornerstone Advisors Core Plus Bond Fund Institutional Shares,Small Blend,Cornerstone,0.4112,0.0501,0.0602,0.0816,0.2588,-0.2223
MOPIX,Adaptive Hedged Income Fund Cla,Adaptive Hedged Multi-Asset Income Fund C Class,Small Blend,Cavalier,0.4291,0.0634,0.0738,0.0955,0.2684,-0.2176
MOPPX,Columbia Commodity Strategy Fun,Columbia Commodity Strategy Fund Institutional 2 Class,Foreign Large Blend,Columbia Threadneedle,0.6741,0.2603,0.0783,0.0785,0.1668,-0.159
MOPRX,Columbia Tax-Exempt Fund Class ,Columbia Tax-Exempt Fund Institutional 2 Class,Small Blend,Columbia Threadneedle,0.4277,0.0625,0.0728,0.0785,0.2684,-0.2176
MORGX,Columbia Strategic Municipal In,Columbia Strategic Municipal Income Fund Institutional 2 Class,Intermediate Core-Plus Bond,Columbia Threadneedle,0.0468,0.0461,0.0783,0.0785,0.0432,0.0264
MOSAX,Columbia Minnesota Tax-Exempt F,Columbia Minnesota Tax-Exempt Fund Institutional 2 Class,Foreign Large Blend,Columbia Threadneedle,0.3261,0.0828,0.0665,0.0639,0.1652,-0.2415
MOSFX,Columbia International Dividend,Columbia International Dividend Income Fund Institutional 2 Class,Foreign Large Blend,Columbia Threadneedle,0.3286,0.0842,0.0675,0.0785,0.1636,-0.2412
MOSLX,Columbia Large Cap Growth Oppor,Columbia Large Cap Growth Opportunity Fund Institutional 2 Class,Foreign Large Blend,Columbia Threadneedle,0.3297,0.0856,0.0693,0.0666,0.1653,-0.2404
MOSNX,Adaptive Hedged Income Fund Ins,Adaptive Hedged Multi-Asset Income Fund Institutional Class,Foreign Large Blend,Cavalier,0.3248,0.0815,0.065,0.0619,0.163,-0.243
MOSSX,Calamos Dividend Growth Fd Cl A,Calamos Dividend Growth Fund Class A,Foreign Large Blend,Calamos,0.3333,0.088,0.0715,0.0685,0.1658,-0.2396
MOSYX,Columbia Acorn European Fd Cl A,Columbia Acorn European Fund Class A,Foreign Large Blend,Columbia Threadneedle,0.3319,0.0867,0.0704,0.0676,0.1667,-0.2406
MOSZX,Columbia Acorn European Fd Cl C,Columbia Acorn European Fund Class C,Foreign Large Blend,Columbia Threadneedle,0.3345,0.0891,0.0726,0.0701,0.1675,-0.2394
MOTAX,Columbia Acorn European Fund Cl,Columbia Acorn European Fund Institutional 2 Class,Mid-Cap Growth,Columbia Threadneedle,0.3094,0.2043,0.1664,0.1553,0.2385,-0.1104
MOTBX,Calvert Global Energy Solutions,Calvert Global Energy Solutions Fund Class I,Small Blend,Calvert Research and Management,0.4115,0.0501,0.0603,0.0816,0.2586,-0.2217
MOTCX,Columbia Acorn European Fund Cl,Columbia Acorn European Fund Institutional 3 Class,Mid-Cap Growth,Columbia Threadneedle,0.3136,0.209,0.1714,0.1604,0.2424,-0.1081
MOTIX,Columbia Acorn European Fund Cl,Columbia Acorn European Fund Institutional Class,Muni National Interm,Columbia Threadneedle,0.0726,0.0556,0.0455,0.0503,0.0797,0.0576
MOTLX,"AMCAP Fund, Class 529-A Shares",American Funds AMCAP Fund Class 529-A,Mid-Cap Growth,American Funds,0.3122,0.207,0.1691,0.158,0.2393,-0.1076
MOTMX,"AMCAP Fund, Class 529-C Shares",American Funds AMCAP Fund Class 529-C,Muni National Interm,American Funds,0.0745,0.0583,0.0479,0.0528,0.0812,0.0596
MOTNX,"AMCAP Fund, Class 529-E Shares",American Funds AMCAP Fund Class 529-E,Mid-Cap Growth,American Funds,0.3075,0.2022,0.1648,0.1529,0.2362,-0.1103
MOTRX,"AMCAP Fund, Class 529-F-1 Share",American Funds AMCAP Fund Class 529-F-1,Small Blend,American Funds,0.4238,0.0598,0.0701,0.0785,0.2666,-0.2184
MOTYX,Adaptive Fundamental Growth Fun,Adaptive Fundamental Growth Fund Institutional Class,Mid-Cap Growth,Cavalier,0.3125,0.2075,0.1702,0.1592,0.2403,-0.1077
MOTZX,Commonwealth Africa Fund,Commonwealth Africa Fund,Mid-Cap Growth,Commonwealth Intl Series Tr,0.314,0.2098,0.1724,0.0785,0.2424,-0.1081
MOVRX,Calamos Global Convertible Fund,Calamos Global Convertible Fund Class A,Small Blend,Calamos,0.4205,0.0572,0.0783,0.0785,0.2647,-0.2193
MOWIX,Calamos Global Equity Fund-Clas,Calamos Global Equity Fund Class A,World Small/Mid Stock,Calamos,0.3954,0.0017,0.0783,0.0785,0.1668,-0.159
MOWNX,Calvert Growth Allocation Fund ,Calvert Growth Allocation Fund Class I,World Small/Mid Stock,Calvert Research and Management,0.3922,-0.0006,0.0783,0.0785,0.1668,-0.159
MPACX,Cornerstone Advisors Global Pub,Cornerstone Advisors Global Public Equity Fund Institutional Shares,Diversified Pacific/Asia,Cornerstone,0.2875,0.1291,0.1248,0.0959,0.125,-0.1734
MPAIX,Calamos Hedged Equity Income Fu,Calamos Hedged Equity Fund Class A,Large Growth,Calamos,0.328,0.3043,0.2217,0.2028,0.2552,-0.1064
MPALX,Adaptive Hedged High Income Fun,Adaptive Hedged High Income Fund C Class,Muni Pennsylvania,Cavalier,0.0555,0.0537,0.0783,0.0785,0.0629,0.061
MPASX,Capital Income Builder Cl A Shs,American Funds Capital Income Builder Class A,Diversified Emerging Mkts,American Funds,0.1638,0.0769,0.0811,0.0204,0.1436,-0.2781
MPBAX,Columbia Adaptive Retirement 20,Columbia Adaptive Retirement 2025 Fund Institutional 3 Class,World Allocation,Columbia Threadneedle,0.2163,0.0968,0.0759,0.0783,0.1676,-0.0942
MPBFX,Columbia Adaptive Retirement 20,Columbia Adaptive Retirement 2035 Fund Institutional 3 Class,Intermediate Core Bond,Columbia Threadneedle,0.0026,0.0587,0.0375,0.0323,0.0374,0.0254
MPBLX,Capital Income Builder Cl F-2 S,American Funds Capital Income Builder Class F-2,Allocation--50% to 70% Equity,American Funds,0.2629,0.1164,0.0924,0.083,0.143,-0.1503
MPCKX,Columbia Adaptive Retirement 20,Columbia Adaptive Retirement 2045 Fund Institutional 3 Class,Pacific/Asia ex-Japan Stk,Columbia Threadneedle,0.1986,0.0951,0.0783,0.0785,0.1565,-0.2371
MPDGX,Columbia Adaptive Retirement 20,Columbia Adaptive Retirement 2055 Fund Institutional 3 Class,Large Growth,Columbia Threadneedle,0.3706,0.2218,0.1755,0.0785,0.2691,-0.1588
MPDIX,Lord Abbett California Tax-Free,Lord Abbett California Tax Free Fund Class I,Large Growth,Lord Abbett,0.3773,0.2278,0.1812,0.0785,0.2709,-0.1579
MPDRX,Columbia Acorn International Cl,Columbia Acorn International Fund Institutional 2 Class,Large Growth,Columbia Threadneedle,0.3672,0.2188,0.1727,0.0785,0.2672,-0.1597
MPEGX,Columbia Virginia Intermediate ,Columbia Virginia Intermediate Municipal Bond Fund Advisor Class,Mid-Cap Growth,Columbia Threadneedle,0.3875,0.4827,0.2706,0.1899,0.1813,-0.2114
MPEMX,Lord Abbett Tax-Free Income Fun,Lord Abbett California Tax Free Fund Class C,Diversified Emerging Mkts,Lord Abbett,0.1993,0.0821,0.0565,0.019,0.2025,-0.2086
MPEYX,Calvert Conservative Allocation,Calvert Conservative Allocation Fund Class C,Diversified Emerging Mkts,Calvert Research and Management,0.1673,0.0811,0.085,0.0242,0.1461,-0.2765
MPFDX,Calvert Small-Cap Fund Class R6,Calvert Small-Cap Fund Class R6,Corporate Bond,Calvert Research and Management,0.0147,0.0791,0.0681,0.0603,0.0527,0.0305
MPFIX,Cambiar Global Ultra Focus Fund,Cambiar Aggressive Value Fund Investor Class,Intermediate Core-Plus Bond,Cambiar Funds,0.0215,0.0646,0.0595,0.0539,0.0567,0.0163
MPGAX,Cambiar International Small Cap,Cambiar International Small Cap Fund Institutional Class,Large Growth,Cambiar Funds,0.3693,0.2208,0.1746,0.1665,0.2695,-0.16
MPGFX,Cambiar Global Equity Investor ,Cambiar Global Equity Fund Investor Class,Large Blend,Cambiar Funds,0.4116,0.1874,0.1441,0.1504,0.2914,-0.1806
MPGLX,Cambiar Funds International Equ,Cambiar International Equity Fund Investor Class,Large Growth,Cambiar Funds,0.3727,0.2239,0.1776,0.1694,0.2702,-0.1584
MPGOX,Congress Large Cap Growth Fund ,Congress Large Cap Growth Fund Retail Class,Muni Single State Long,Congress,0.0457,0.0481,0.0783,0.0785,0.058,0.0612
MPGSX,Cambiar Smid 30 Fund Investor C,Cambiar SMID Fund Investor Class Shares,Large Growth,Cambiar Funds,0.3757,0.2263,0.1798,0.1719,0.2726,-0.1583
MPGVX,Cambiar Opportunity Fund Portfo,Cambiar Opportunity Fund Class Investor,,Cambiar Funds,0.2434,0.0911,0.0783,0.0785,0.1668,-0.159
MPHAX,Cambiar Small Cap Fund Investor,Cambiar Small Cap Fund Class Investor,High Yield Bond,Cambiar Funds,0.1215,0.0582,0.0575,0.065,0.1316,-0.0612
MPHLX,Cambiar SMID Fund- Institutiona,Cambiar SMID Fund Institutional Class,High Yield Bond,Cambiar Funds,0.1229,0.0608,0.0602,0.0676,0.1324,-0.0609
MPHNX,Cambiar Opportunity Fund Instit,Cambiar Opportunity Fund Class Institutional,High Yield Bond,Cambiar Funds,0.1193,0.0568,0.0559,0.063,0.1294,-0.0626
MPHQX,Cambiar International Equity Fu,Cambiar International Equity Institutional,Intermediate Core-Plus Bond,Cambiar Funds,0.0176,0.0654,0.042,0.045,0.047,0.0148
MPHRX,Cambiar Small Cap Fund - Insti ,Cambiar Small Cap Institutional Class,High Yield Bond,Cambiar Funds,0.122,0.0594,0.0586,0.0785,0.1332,-0.0604
MPHSX,American Funds Strategic Bond F,American Funds Strategic Bond Fund Class 529-A,High Yield Bond,American Funds,0.1253,0.063,0.0624,0.0697,0.1339,-0.0596
MPHZX,American Funds Strategic Bond F,American Funds Strategic Bond Fund Class 529-C,High Yield Bond,American Funds,0.1272,0.0641,0.0633,0.0711,0.136,-0.0584
MPIBX,American Funds Strategic Bond F,American Funds Strategic Bond Fund Class 529-E,Short-Term Bond,American Funds,0.0092,0.0417,0.0264,0.022,0.0287,0.0176
