fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years
KBWD,American Century One Choice 205,American Century Investments One Choice 2050 Portfolio Investor Class,Financial,American Century Investments,0.6535,0.0559,0.0919,0.0771,0.44,5.22
KBWP,American Century One Choice 205,American Century Investments One Choice 2050 Portfolio R Class,Financial,American Century Investments,0.3897,0.1118,0.1128,0.1419,0.68,13.18
KBWR,"Arbitrage Fund, Class A",The Arbitrage Fund Class A,Financial,Arbitrage Fund,0.7034,0.0407,0.1093,0.0542,0.47,7.22
KBWY,One Choice 2060 Portfolio - R6 ,American Century Investments One Choice 2060 Portfolio R6 Class,Real Estate,American Century Investments,0.3067,-0.063,-0.0078,0.0556,0.08,-1.4
KDFI,Ariel Fund Investor Cl,Ariel Fund Investor Class,Multisector Bond,Ariel Investments,0.0915,0.0864,0.08785,0.0542,0.6,9.4
KEJI,One Choice 2060 Portfolio - C C,American Century Investments One Choice 2060 Portfolio C Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KEMQ,One Choice 2060 Portfolio - A C,American Century Investments One Choice 2060 Portfolio A Class,Diversified Emerging Mkts,American Century Investments,0.317,0.1284,0.08785,0.0542,0.6,9.4
KEMX,American Century One Choice 206,American Century Investments One Choice 2060 Portfolio I Class,Diversified Emerging Mkts,American Century Investments,0.5084,0.0864,0.08785,0.0542,0.6,9.4
KESG,One Choice 2060 Portfolio - R C,American Century Investments One Choice 2060 Portfolio R Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KFVG,One Choice 2060 Portfolio - Inv,American Century Investments One Choice 2060 Portfolio Investor Class,China Region,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KFYP,Invesco Global Real Estate Fund,Invesco Global Real Estate Fund Class Y,China Region,Invesco,0.238,0.0486,0.1328,0.0542,0.68,14.65
KGRN,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio C Class,China Region,American Century Investments,1.3079,0.3552,0.08785,0.0542,0.6,9.4
KJAN,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio R Class,Small Blend,American Century Investments,0.2509,0.0864,0.08785,0.0542,0.6,9.4
KJUL,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio A Class,Small Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KLCD,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio R6 Class,Large Blend,American Century Investments,0.3346,0.0864,0.08785,0.0542,0.6,9.4
KLDW,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio I Class,,American Century Investments,0.3545,0.122,0.1349,0.0542,0.88,13.03
KMED,American Century One Choice 206,American Century Investments One Choice 2065 Portfolio Investor Class,Diversified Emerging Mkts,American Century Investments,0.3015,0.0864,0.08785,0.0542,0.6,9.4
KMLM,AMG River Road Dividend All Cap,AMG River Road Dividend All Cap Value Fund Class I,Managed Futures,AMG Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
KNG,"AB Institutional Funds, Inc. - ",AB Global Real Estate Investment Fund II Class I,Large Value,AllianceBernstein,0.3637,0.1447,0.08785,0.0542,0.6,9.4
KNGS,AMG River Road Small-Mid Cap Va,AMG River Road Small-Mid Cap Value Fund Class I,,AMG Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
KOCT,Archer Income Fund,Archer Income Fund,,Archer,0.1198,0.0864,0.08785,0.0542,0.6,9.4
KOIN,AllianzGI Preferred Securities ,Virtus AllianzGI Preferred Securities and Income Fund Class R6,Technology,Virtus,0.4398,0.2171,0.08785,0.0542,0.6,9.4
KOKU,American Century One Choice 203,American Century Investments One Choice 2035 Portfolio C Class,,American Century Investments,0.3902,0.0864,0.08785,0.0542,0.6,9.4
KOLD,One Choice 2035 Portfolio - R6 ,American Century Investments One Choice 2035 Portfolio R6 Class,Trading--Inverse Commodities,American Century Investments,-0.6959,-0.1911,-0.0971,0.0542,0.27,4.92
KOMP,American Century One Choice 203,American Century Investments One Choice 2035 Portfolio I Class,Mid-Cap Growth,American Century Investments,0.8146,0.0864,0.08785,0.0542,0.6,9.4
KORP,AMG River Road Long-Short Fund ,AMG River Road International Value Equity Fund Class N,Corporate Bond,AMG Funds,0.0387,0.0581,0.08785,0.0542,0.6,9.4
KORU,AMG River Road Long-Short Fund ,AMG River Road International Value Equity Fund Class Z,Trading--Leveraged Equity,AMG Funds,2.6926,0.0349,0.1517,0.0542,0.54,4.65
KRBN,Western Asset Ultra-Short Incom,Western Asset Ultra-Short Income Fund Class C1,,Franklin Templeton Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KRMA,,ARGA Emerging Markets Value Fund Institutional Shares,Large Blend,AGRA,0.4321,0.1808,0.08785,0.0542,0.6,9.4
KSCD,Western Asset Ultra-Short Incom,Western Asset Ultra-Short Income Fund Class IS,Small Blend,Franklin Templeton Investments,0.2941,0.0864,0.08785,0.0542,0.6,9.4
KSTR,AllianzGI Mid-Cap Fd Cl P,Virtus AllianzGI Mid-Cap Growth Fund Class P,China Region,Virtus,0.353,0.0864,0.08785,0.0542,0.6,9.4
KTEC,Western Asset Ultra-Short Incom,Western Asset Ultra-Short Income Fund Class A,China Region,Franklin Templeton Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KURE,American Century One Choice 204,American Century Investments One Choice 2040 Portfolio C Class,China Region,American Century Investments,0.43,0.1933,0.08785,0.0542,0.6,9.4
KVLE,American Century One Choice 204,American Century Investments One Choice 2045 Portfolio A Class,Large Value,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
KWEB,American Century One Choice 204,American Century Investments One Choice 2045 Portfolio C Class,China Region,American Century Investments,0.1299,0.0671,0.1695,0.0542,0.7,15.69
LABD,American Century One Choice 204,American Century Investments One Choice 2045 Portfolio Investor Class,Trading--Inverse Equity,American Century Investments,-0.7219,-0.6636,-0.6936,0.0542,-1.07,24.5
LABU,American Century One Choice 204,American Century Investments One Choice 2045 Portfolio R Class,Trading--Leveraged Equity,American Century Investments,0.2395,-0.0789,0.2137,0.0542,0.64,5.23
LBAY,American Century Real Estate Fu,American Century Real Estate Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
LBJ,AMG River Road Focused Absolute,AMG River Road Focused Absolute Value Fund Class N,Trading--Leveraged Equity,AMG Funds,0.9019,-0.3803,-0.2432,-0.3431,0.19,-9.19
LCG,AB Global Real Estate Investmen,AB Global Real Estate Investment Fund Class K,Large Growth,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
LCR,AB Global Real Estate Investmen,AB Global Real Estate Investment Fund Class R,Tactical Allocation,AllianceBernstein,0.2007,0.0864,0.08785,0.0542,0.6,9.4
LCTD,AMG River Road Focused Absolute,AMG River Road Focused Absolute Value Fund Class Z,Foreign Large Blend,AMG Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
LD,Aristotle Small Cap Equity Fund,Aristotle Small Cap Equity Fund Class I,,Aristotle,0.2585,-0.0295,0.0419,-0.0367,0.23,4.03
LDEM,AMG River Road Small Cap Value ,AMG River Road Small Cap Value Fund Class I,Diversified Emerging Mkts,AMG Funds,0.4241,0.0864,0.08785,0.0542,0.6,9.4
LDSF,Archer Stock Fund,Archer Stock Fund,Short-Term Bond,Archer,0.0266,0.0864,0.08785,0.0542,0.6,9.4
LDUR,Aristotle Core Equity Fund Clas,Aristotle Core Equity Fund Class I Shares,Short-Term Bond,Aristotle,0.0135,0.0327,0.0267,0.0542,0.85,7.09
LEAD,Aristotle/Saul Global Equity Fu,Aristotle/Saul Global Equity Fund Class I,,Aristotle,0.3233,0.1865,0.1724,0.0542,1.07,16.75
LEGR,AllianzGI Global Small-Cap Fund,Virtus AllianzGI Global Small-Cap Fund Class P,,Virtus,0.5174,0.1514,0.08785,0.0542,0.6,9.4
LEXI,Aristotle Value Equity Fund - C,Aristotle Value Equity Fund Class I,Allocation--70% to 85% Equity,Aristotle,0.353,0.0864,0.08785,0.0542,0.6,9.4
LFEQ,American Century One Choice in ,American Century Investments One Choice In Retirement Portfolio R Class,,American Century Investments,0.4499,0.1576,0.08785,0.0542,0.6,9.4
LGBT,Aristotle Credit Opportunities ,Aristotle Strategic Credit Fund,,Aristotle,0.353,0.0864,0.08785,0.0542,0.6,9.4
LGH,Nuveen Small Cap Select Cl I,Nuveen Small Cap Select Fund Class I,Large Blend,Nuveen,0.5906,0.0864,0.08785,0.0542,0.6,9.4
LGLV,AMG River Road Small Cap Value ,AMG River Road Small Cap Value Fund Class N,Large Blend,AMG Funds,0.3341,0.1635,0.1376,0.0542,0.93,14.9
LGOV,AB Global Real Estate Investmen,AB Global Real Estate Investment Fund Advisor Class,Long Government,AllianceBernstein,-0.035,0.0864,0.08785,0.0542,0.6,9.4
LIT,AMG River Road Small-Mid Cap Va,AMG River Road Small-Mid Cap Value Fund Class Z,Natural Resources,AMG Funds,1.2938,0.3284,0.2633,0.0783,0.98,18.71
LIV,American Century One Choice in ,American Century Investments One Choice In Retirement Portfolio A Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
LKOR,Artisan High Income Fund Invest,Artisan High Income Fund Investor Shares,,Artisan,0.0885,0.083,0.067,0.0542,0.6,2.22
LMBS,Artisan Global Value Fund Inves,Artisan Global Value Fund Investor Class,Short Government,Artisan,0.0064,0.0227,0.023,0.0542,0.83,4.61
LOPP,Artisan Global Equity Fund Inve,Artisan Global Equity Fund Investor Class,,Artisan,0.353,0.0864,0.08785,0.0542,0.6,9.4
LOPX,Artisan International Fund Inv ,Artisan International Fund Investor Class,Small Blend,Artisan,0.353,0.0864,0.08785,0.0542,0.6,9.4
LOUP,Artisan International Small-Mid,Artisan International Small-Mid Fund Investor Share,,Artisan,0.8299,0.0864,0.08785,0.0542,0.6,9.4
LOWC,Artisan International Value Fun,Artisan International Value Fund Investor Class,,Artisan,0.3954,0.152,0.1477,0.0542,0.95,13.73
LQDB,Artisan Value Fund Inv Shs,Artisan Value Fund Investor Class,,Artisan,0.353,0.0864,0.08785,0.0542,0.6,9.4
LRGE,Artisan Select Equity Fund - In,Artisan Select Equity Fund Investor Shares,Large Growth,Artisan,0.3729,0.2221,0.08785,0.0542,0.6,9.4
LRNZ,American Century One Choice in ,American Century Investments One Choice In Retirement Portfolio Investor Class,Technology,American Century Investments,0.3575,0.0864,0.08785,0.0542,0.6,9.4
LSAF,AllianzGI Technology Fund Class,Virtus AllianzGI Technology Fund Class P,Large Blend,Virtus,0.4012,0.0864,0.08785,0.0542,0.6,9.4
LSAT,Artisan Mid Cap Value Fd Invest,Artisan Mid Cap Value Fund Investor Class,,Artisan,0.353,0.0864,0.08785,0.0542,0.6,9.4
LSLT,Artisan Small Cap Fund Inv Shs,Artisan Small Cap Fund Investor Shares,,Artisan,0.0858,0.0864,0.08785,0.0542,0.6,9.4
LSST,Artisan Developing World Fund -,Artisan Developing World Fund Investor Shares,Short-Term Bond,Artisan,0.0223,0.041,0.08785,0.0542,0.6,9.4
LTL,Artisan Sustainable Emerging Ma,Artisan Sustainable Emerging Markets Fund Investor Class,Trading--Leveraged Equity,Artisan,0.4888,0.1133,-0.0048,0.0574,0.08,-1.45
LTPZ,American Century One Choice 202,American Century Investments One Choice 2025 Portfolio A Class,Inflation-Protected Bond,American Century Investments,0.0587,0.1083,0.0701,0.0637,0.62,2.2
LUXE,American Century One Choice 202,American Century Investments One Choice 2025 Portfolio C Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
LVHD,American Century One Choice 202,American Century Investments One Choice 2025 Portfolio I Class,Large Value,American Century Investments,0.3112,0.1047,0.0876,0.0542,0.6,9.46
LVHI,American Century One Choice 202,American Century Investments One Choice 2025 Portfolio Investor Class,Foreign Large Value,American Century Investments,0.2256,0.0595,0.08785,0.0542,0.6,9.4
LVOL,American Century One Choice 203,American Century Investments One Choice 2030 Portfolio C Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
LYFE,American Century One Choice 202,American Century Investments One Choice 2025 Portfolio R Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MAAX,American Century One Choice 203,American Century Investments One Choice 2035 Portfolio A Class,,American Century Investments,0.0794,0.0864,0.08785,0.0542,0.6,9.4
MAGA,American Century Real Estate Fu,American Century Real Estate Fund C Class,Large Value,American Century Investments,0.5503,0.1199,0.08785,0.0542,0.6,9.4
MAMB,American Century Global Real Es,American Century Global Real Estate Fund R6 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MARB,American Century Global Real Es,American Century Global Real Estate Fund R5 Class,,American Century Investments,0.0165,0.0864,0.08785,0.0542,0.6,9.4
MARZ,American Century Global Real Es,American Century Global Real Estate Fund I Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MAYZ,American Century One Choice 203,American Century Investments One Choice 2035 Portfolio R Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MBB,American Century Global Real Es,American Century Global Real Estate Fund Investor Class,Intermediate Government,American Century Investments,-0.004,0.0372,0.0215,0.0244,0.49,1.84
MBBB,American Century Global Real Es,American Century Global Real Estate Fund Y Class,Corporate Bond,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MBCC,Short Duration Strategic Income,American Century Short Duration Strategic Income Fund A Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MBND,American Century Strategic Allo,American Century Strategic Allocation: Moderate Fund I Class,Muni National Interm,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MBOX,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R5 Class,Large Value,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MBSD,"American Fds, Short-Term Bond F",American Funds Short-Term Bond Fund of America Class A,Intermediate Government,American Funds,0.003,0.0397,0.0194,0.0542,0.51,1.98
MCEF,"American Fd, Short-Term Bond Fu",American Funds Short-Term Bond Fund of America Class C,Muni National Long,American Funds,0.2248,0.1075,0.08785,0.0542,0.6,9.4
MCHI,"American Fd, Short-Term Fund of",American Funds Short-Term Bond Fund of America Class F-1,China Region,American Funds,0.272,0.0988,0.1583,0.0702,0.85,18.06
MCRO,Short Duration Strategic Income,American Century Short Duration Strategic Income Fund C Class,World Allocation,American Century Investments,0.1124,0.0502,0.0413,0.0144,0.54,5.33
MDIV,AllainzGI Small-Cap Blend Fund ,Virtus AllianzGI Small-Cap Fund R6,Allocation--50% to 70% Equity,Virtus,0.3069,0.0341,0.0344,0.0542,0.22,1.33
MDYG,Dinosaur Lisanti Small Cap Grow,Lisanti Small Cap Growth Fund,Mid-Cap Growth,Lisanti SmallCap,0.4507,0.1403,0.1512,0.1244,0.83,12.65
MDYV,"AB Cap Fund, Inc. - AB Select U",AB Select US Long/Short Portfolio Class C,Mid-Cap Value,AllianceBernstein,0.6113,0.114,0.1273,0.1168,0.61,8.98
MEAR,American Century Small Company ,American Century Small Company Fund I Class,Muni National Short,American Century Investments,0.0056,0.0131,0.011,0.0542,-0.02,-0.14
MEXX,American Century Small Company ,American Century Small Company Fund R Class,Trading--Leveraged Equity,American Century Investments,2.0219,-0.2443,0.08785,0.0542,0.6,9.4
MFDX,Alger Small Cap Growth Fund Cla,Alger Small Cap Growth Fund Class Z,Foreign Large Blend,Alger,0.3239,0.0751,0.08785,0.0542,0.6,9.4
MFEM,AAM/HIMCO Short Duration Fund C,AAM/HIMCO Short Duration Fund Class A,Diversified Emerging Mkts,AAM,0.5211,0.1161,0.08785,0.0542,0.6,9.4
MFMS,AAM/HIMCO Short Duration Fund C,AAM/HIMCO Short Duration Fund Class C,Small Growth,AAM,0.476,0.0864,0.08785,0.0542,0.6,9.4
MFUS,Short Duration Fund - R6 Class,American Century Short Duration Fund R6 CLASS,Large Blend,American Century Investments,0.4372,0.1366,0.08785,0.0542,0.6,9.4
MGC,American Century Select Fund R6,American Century Select Fund R6 Class,Large Blend,American Century Investments,0.4117,0.1986,0.1855,0.1526,1.14,17.51
MGK,American Century Short Duration,American Century Short Duration Strategic Income Fund I Class,Large Growth,American Century Investments,0.4238,0.2582,0.2389,0.1814,1.33,22.14
MGMT,AAM/HIMCO Short Duration Fund C,AAM/HIMCO Short Duration Fund Class I,Small Blend,AAM,0.353,0.0864,0.08785,0.0542,0.6,9.4
MGV,American Century Short Duration,American Century Short Duration Strategic Income Fund R5 Class,Large Value,American Century Investments,0.3938,0.1325,0.1306,0.1231,0.82,12.51
MID,,American Century Short Duration Fund G Class,Mid-Cap Growth,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MIDE,Short Duration Strategic Income,American Century Short Duration Strategic Income Fund R Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MIDU,Short Duration Strategic Income,American Century Short Duration Strategic Income Fund Investor Class,Trading--Leveraged Equity,American Century Investments,2.1491,0.0887,0.2156,0.2101,0.66,5.74
MIG,Nuveen Small Cap Select Fund Cl,Nuveen Small Cap Select Fund Class R6,Corporate Bond,Nuveen,0.353,0.0864,0.08785,0.0542,0.6,9.4
MILN,Nuveen Small Cap Select Class R,Nuveen Small Cap Select Fund Class R3,Large Growth,Nuveen,0.5697,0.2528,0.2388,0.0542,1.16,19.48
MINC,American Century Select Fund R ,American Century Select Fund R Class,,American Century Investments,0.0446,0.0324,0.0269,0.0542,0.55,4.32
MINN,AlphaSimplex Managed Futures St,AlphaSimplex Managed Futures Strategy Fund Class C,Muni Minnesota,Natixis Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
MINT,Arrow Dynamic Income Fund - A S,Arrow DWA Tactical: Income Fund Class A,Ultrashort Bond,Arrow Funds,0.0084,0.0198,0.0193,0.0144,0.56,6.86
MJ,Absolute Strategies Insti Share,Absolute Strategies Fund Institutional Class,Miscellaneous Sector,Absolute Strategies,0.6417,-0.0775,-0.0152,0.0542,0.15,-1.33
MJUS,Arrow Dynamic Income Fund Insti,Arrow DWA Tactical: Income Fund Institutional Class,,Arrow Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
MLN,Arrow Dynamic Income Fund Class,Arrow DWA Tactical: Income Fund Class C,Muni National Long,Arrow Funds,0.0631,0.0629,0.0371,0.0558,0.46,1.75
MLPA,AlphaSimplex Managed Futures St,AlphaSimplex Managed Futures Strategy Fund Class Y,Energy Limited Partnership,Natixis Funds,0.6043,-0.0149,-0.0262,0.0542,0.1,-1.94
MLPO,AllianzGI Global Dynamic Alloca,Virtus AllianzGI Global Dynamic Allocation Fund Class A,Energy Limited Partnership,Virtus,0.4509,-0.0182,0.0034,0.0542,0.12,-1.32
MLPX,American Century Short-Term Go,American Century Short-Term Government Fund I Class,Energy Limited Partnership,American Century Investments,0.5844,0.0376,0.0359,0.0542,0.24,1.42
MMIN,Transamerica Small Cap Growth C,Transamerica Small Cap Growth A,Muni National Interm,Transamerica,0.0417,0.0629,0.08785,0.0542,0.6,9.4
MMIT,AllianzGI Short Duration High I,Virtus AllianzGI Short Duration High Income Fund Class A,Muni National Interm,Virtus,0.0488,0.0604,0.08785,0.0542,0.6,9.4
MMLG,AllianzGI Short Duration High I,Virtus AllianzGI Short Duration High Income Fund Class C,,Virtus,0.353,0.0864,0.08785,0.0542,0.6,9.4
MMTM,American Century Short Duration,American Century Short Duration Fund I Class,Large Growth,American Century Investments,0.3671,0.1669,0.1679,0.0542,1.04,16.04
MNA,AllianzGI Short Duration High I,Virtus AllianzGI Short Duration High Income Fund Institutional Class,,Virtus,0.0876,0.0375,0.0386,0.0336,0.5,15.27
MOAT,AllianzGI Short Duration High I,Virtus AllianzGI Short Duration High Income Fund Class P,Large Blend,Virtus,0.4388,0.2118,0.195,0.0542,1.09,17.37
MOO,AllianzGI Short Duration High I,Virtus AllianzGI Short Duration High Income Fund Class R6,Natural Resources,Virtus,0.5311,0.1514,0.1543,0.0733,0.94,14.61
MOON,Invesco Asian Pacific Growth Fu,Invesco Asia Pacific Growth Fund Class A,Technology,Invesco,0.353,0.0864,0.08785,0.0542,0.6,9.4
MORT,Invesco Asian Pacific Growth Fu,Invesco Asia Pacific Growth Fund Class C,Real Estate,Invesco,0.6064,0.0259,0.0686,0.0542,0.39,3.59
MOTI,Strategic Income Fund - Investo,American Century Strategic Income Fund Investor Class,Foreign Large Value,American Century Investments,0.2978,0.0664,0.1006,0.0542,0.61,8.52
MOTO,American Century Strategic Inco,American Century Strategic Income Fund I Class,,American Century Investments,0.721,0.0864,0.08785,0.0542,0.6,9.4
MPRO,Strategic Income Fund - C Class,American Century Strategic Income Fund C Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MRAD,American Century Strategic Inco,American Century Strategic Income Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MRGR,"AB Cap Fund, Inc. - AB Select U",AB Select US Long/Short Portfolio Class I,,AllianceBernstein,0.0862,0.0552,0.0304,0.0542,0.55,16.38
MRSK,Alger Weatherbie Specialized Gr,Alger Weatherbie Specialized Growth Fund Class I,,Alger,0.2862,0.0864,0.08785,0.0542,0.6,9.4
MSOS,Strategic Income Fund - R6 Clas,American Century Strategic Income Fund R6 Class,Miscellaneous Sector,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MSTB,Strategic Income Fund - A Class,American Century Strategic Income Fund A Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MSVX,Alger Small Cap Growth Institut,Alger Small Cap Growth Institutional Fund Class R,Long-Short Equity,Alger,0.1277,0.0864,0.08785,0.0542,0.6,9.4
MTGP,Invesco Asia Pacific Growth Fun,Invesco Asia Pacific Growth Fund Class R6,Intermediate Government,Invesco,0.016,0.0864,0.08785,0.0542,0.6,9.4
MTUL,Strategic Income Fund - R Class,American Century Strategic Income Fund R Class,Trading--Leveraged Equity,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MTUM,Invesco Asia Pacific Growth Fun,Invesco Asia Pacific Growth Fund Class Y,Large Growth,Invesco,0.3305,0.1782,0.1923,0.0542,1.16,19.67
MUB,"AB Cap Fund, Inc. - AB Select U",AB Select US Long/Short Portfolio Class A,Muni National Interm,AllianceBernstein,0.0358,0.0481,0.0288,0.0385,0.46,1.77
MUNI,American Century Select Fund - ,American Century Select Fund R5 Class,Muni National Interm,American Century Investments,0.0384,0.0469,0.0292,0.0328,0.53,2.04
MUSI,"AB Cap Fund, Inc. - AB Select U",AB Select US Long/Short Portfolio Class K,Multisector Bond,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
MUST,American Century Select Fund - ,American Century Select Fund Y Class,Muni National Interm,American Century Investments,0.0603,0.0864,0.08785,0.0542,0.6,9.4
MVP,American Century Strategic Allo,American Century Strategic Allocation: Moderate Fund R6 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
MVV,Invesco Summit Fund Class A,Invesco Summit Fund Class A,Trading--Leveraged Equity,Invesco,1.229,0.1521,0.2075,0.1838,0.67,8.2
MXDU,AQR Small Cap Momentum Style Fu,AQR Small Cap Momentum Style Fund Class N,Large Blend,AQR Funds,0.3692,0.1548,0.08785,0.0542,0.6,9.4
MYY,AQR Small Cap Momentum Style Fu,AQR Small Cap Momentum Style Fund Class I,Trading--Inverse Equity,AQR Funds,-0.3779,-0.1666,-0.1589,-0.1457,-0.93,15.25
MZZ,American Century Strategic Allo,American Century Strategic Allocation: Moderate Fund R Class,Trading--Inverse Equity,American Century Investments,-0.6244,-0.3579,-0.3264,-0.2973,-0.99,16.02
NACP,American Century Strategic Allo,American Century Strategic Allocation: Moderate Fund R5 Class,,American Century Investments,0.4974,0.0864,0.08785,0.0542,0.6,9.4
NAIL,Invesco Summit Fund Class Y,Invesco Summit Fund Class Y,Trading--Leveraged Equity,Invesco,1.8926,0.1219,0.2602,0.0542,0.78,5.64
NANR,Alger Weatherbie Specialized Gr,Alger Weatherbie Specialized Growth Fund Class Z,Natural Resources,Alger,0.469,0.071,0.0702,0.0542,0.35,4.26
NAPR,Alger Spectra Fund Class C,Alger Spectra Fund Class C,Large Blend,Alger,0.0917,0.0864,0.08785,0.0542,0.6,9.4
NEAR,Astor Sector Allocation Fund Cl,Astor Sector Allocation Fund Class A,Ultrashort Bond,Astor,0.0133,0.0202,0.0182,0.0542,0.36,4.56
NERD,Alger Spectra Fund Class I,Alger Spectra Fund Class I,Consumer Cyclical,Alger,0.5043,0.0864,0.08785,0.0542,0.6,9.4
NETL,Alger Spectra Fund Class Y,Alger Spectra Fund Class Y,Real Estate,Alger,0.3929,0.0864,0.08785,0.0542,0.6,9.4
NFLT,"The Alger Fds II, Alger Spectra",Alger Spectra Fund Class Z,Multisector Bond,Alger,0.0945,0.0603,0.0504,0.0542,0.63,5.05
NFRA,American Century Small Company ,American Century Small Company Fund A Class,Infrastructure,American Century Investments,0.2312,0.1047,0.0778,0.0542,0.57,8.54
NFTY,American Century Small Company ,American Century Small Company Fund C Class,India Equity,American Century Investments,0.6036,0.0802,0.1035,0.0542,0.51,8.51
NGE,American Century Small Company ,American Century Small Company Fund R5 Class,Miscellaneous Region,American Century Investments,0.4368,-0.1156,-0.0626,0.0542,-0.02,-5.75
NIB,American Century Small Company ,American Century Small Company Fund Investor Class,,American Century Investments,0.1118,-0.0123,-0.0527,-0.0425,-0.05,-33.24
NIFE,Invesco Global Real Estate Inco,Invesco Global Real Estate Income Fund Class A,Mid-Cap Blend,Invesco,0.635,0.0864,0.08785,0.0542,0.6,9.4
NJAN,Invesco Global Real Estate Inco,Invesco Global Real Estate Income Fund Class C,Large Growth,Invesco,0.1145,0.0864,0.08785,0.0542,0.6,9.4
NJUL,Invesco Global Real Estate Inco,Invesco Global Real Estate Income Fund Class R6,,Invesco,0.353,0.0864,0.08785,0.0542,0.6,9.4
NLR,Invesco Global Real Estate Inco,Invesco Global Real Estate Income Fund Class R5,Miscellaneous Sector,Invesco,0.2614,0.0383,0.0434,0.0192,0.28,4.89
NOBL,"AB Cap Fund, Inc. - AB Select U",AB Select US Long/Short Portfolio Class R,Large Value,AllianceBernstein,0.3756,0.1583,0.1318,0.0542,0.84,12.99
NOCT,Invesco Global Real Estate Inco,Invesco Global Real Estate Income Fund Class Y,,Invesco,0.1544,0.0864,0.08785,0.0542,0.6,9.4
NORW,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund C Class,Miscellaneous Region,American Century Investments,0.528,0.0387,0.1012,0.0235,0.5,6.66
NTSE,American Century Strategic Allo,American Century Strategic Allocation: Moderate Fund C Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
NTSI,American Funds Short-Term Tax-E,American Funds Short-Term Tax-Exempt Bond Fund Class A,,American Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
NTSX,American Funds Short-Term Tax-E,American Funds Short-Term Tax-Exempt Bond Fund Class F-2,Large Blend,American Funds,0.344,0.0864,0.08785,0.0542,0.6,9.4
NUAG,Astor Dynamic Allocation Fund C,Astor Dynamic Allocation Fund Class I,Intermediate-Term Bond,Astor,0.0032,0.0536,0.08785,0.0542,0.6,9.4
NUBD,Astor Dynamic Allocation Fund C,Astor Dynamic Allocation Fund Class A,Intermediate-Term Bond,Astor,-0.0154,0.0496,0.08785,0.0542,0.6,9.4
NUDM,Astor Macro Alternative Fund Cl,Astor Macro Alternative Fund Class A,,Astor,0.4621,0.0712,0.08785,0.0542,0.6,9.4
NUEM,AllianzGl Global Sustainability,Virtus AllianzGI Global Sustainability Fund Institutional Class,,Virtus,0.5928,0.0991,0.08785,0.0542,0.6,9.4
